mrr:0.26227755779637973	hit10:0.3771657851541127	hit5:0.3188035746853912	hit1:0.19916104322451214
mrr:0.2636341501981872	hit10:0.3731533831843881	hit5:0.32500455954769286	hit1:0.19733722414736457
mrr:0.26556993275254337	hit10:0.3808134233084078	hit5:0.3281050519788437	hit1:0.2000729527630859
mrr:0.265394107631349	hit10:0.37826007660040123	hit5:0.32682837862484043	hit1:0.20189677184023344
mrr:0.2636712743494546	hit10:0.37698340324639795	hit5:0.3215393033011125	hit1:0.20062009848623016
mrr:0.26454839239164385	hit10:0.37333576509210287	hit5:0.3213569213933978	hit1:0.20226153565566296
mrr:0.26412963253080946	hit10:0.3724238555535291	hit5:0.320445011854824	hit1:0.2017143899325187
mrr:0.2682386596304111	hit10:0.37698340324639795	hit5:0.32956410724056173	hit1:0.20517964617909903
mrr:0.2643750503163726	hit10:0.3729710012766734	hit5:0.32080977567025354	hit1:0.20153200802480395
mrr:0.2645700001608923	hit10:0.3696881269378078	hit5:0.3188035746853912	hit1:0.20226153565566296
mrr:0.2616672185167453	hit10:0.37132956410724055	hit5:0.319715484223965	hit1:0.19751960605507934
mrr:0.2611936617363422	hit10:0.3762538756155389	hit5:0.3184388108699617	hit1:0.19715484223964982
mrr:0.2631011896363705	hit10:0.3729710012766734	hit5:0.31789166514681744	hit1:0.19970818894765638
mrr:0.26278015293467805	hit10:0.37789531278497174	hit5:0.3173445194236732	hit1:0.20134962611708918
mrr:0.2618174384994278	hit10:0.36804668976837496	hit5:0.3188035746853912	hit1:0.19970818894765638
mrr:0.25891489936396683	hit10:0.36859383549151925	hit5:0.319715484223965	hit1:0.19514864125478754
mrr:0.2643764695723627	hit10:0.3696881269378078	hit5:0.3200802480393945	hit1:0.20189677184023344
mrr:0.2676720869448881	hit10:0.38300200620098485	hit5:0.32555170527083716	hit1:0.20390297282509576
mrr:0.2600379161354107	hit10:0.3669523983220864	hit5:0.3171621375159584	hit1:0.19697246033193508
mrr:0.26413799195282706	hit10:0.3658581068757979	hit5:0.31825642896224693	hit1:0.2033558271019515
mrr:0.2623078496260387	hit10:0.37041765456866677	hit5:0.32062739376253874	hit1:0.19824913368593836
mrr:0.26347607814469703	hit10:0.37060003647638157	hit5:0.3200802480393945	hit1:0.19879627940908262
mrr:0.2643146803712139	hit10:0.37333576509210287	hit5:0.3244574138245486	hit1:0.2000729527630859
mrr:0.2643275693044072	hit10:0.36932336312237823	hit5:0.3188035746853912	hit1:0.20445011854824002
mrr:0.2650723788762682	hit10:0.36859383549151925	hit5:0.32080977567025354	hit1:0.20372059091738098
mrr:0.2601304854716824	hit10:0.3660404887835127	hit5:0.31697975560824365	hit1:0.19697246033193508
mrr:0.26433967293674937	hit10:0.370235272660952	hit5:0.31552070034652563	hit1:0.2024439175633777
mrr:0.26400875278557406	hit10:0.3715119460149553	hit5:0.31497355462338134	hit1:0.20280868137880723
mrr:0.26056799024607463	hit10:0.370235272660952	hit5:0.31898595659310597	hit1:0.1980667517782236
mrr:0.2639254855394245	hit10:0.36895859930694874	hit5:0.31497355462338134	hit1:0.2033558271019515
mrr:0.26247688586025236	hit10:0.37187670983038484	hit5:0.31515593653109614	hit1:0.1984315155936531
mrr:0.26496071369993773	hit10:0.3738829108152471	hit5:0.31825642896224693	hit1:0.20299106328652197
mrr:0.2637091235095245	hit10:0.3696881269378078	hit5:0.31989786613167975	hit1:0.20116724420937443
mrr:0.25656872796237096	hit10:0.3669523983220864	hit5:0.31278497173080433	hit1:0.1916833850082072
mrr:0.26103225313725426	hit10:0.36567572496808315	hit5:0.3177092832391027	hit1:0.19861389750136788
mrr:0.2660670068333363	hit10:0.36804668976837496	hit5:0.32062739376253874	hit1:0.2049972642713843
mrr:0.263582714520594	hit10:0.37187670983038484	hit5:0.32172168520882727	hit1:0.20116724420937443
mrr:0.2617742575419569	hit10:0.36859383549151925	hit5:0.3191683385008207	hit1:0.19952580703994163
mrr:0.2598559312167391	hit10:0.3684114535838045	hit5:0.31460879080795184	hit1:0.19660769651650556
mrr:0.2616851625334093	hit10:0.3660404887835127	hit5:0.31789166514681744	hit1:0.19879627940908262
mrr:0.2585508555539284	hit10:0.3667700164143717	hit5:0.3177092832391027	hit1:0.19423673171621375
mrr:0.2636050809096353	hit10:0.37187670983038484	hit5:0.319715484223965	hit1:0.20025533467080064
mrr:0.26207870329938393	hit10:0.3696881269378078	hit5:0.3180740470545322	hit1:0.19897866131679737
mrr:0.2625760293021612	hit10:0.3691409812146635	hit5:0.3188035746853912	hit1:0.19879627940908262
mrr:0.26339829320977654	hit10:0.3720590917380996	hit5:0.3171621375159584	hit1:0.20062009848623016
mrr:0.26355659554056854	hit10:0.3716943279226701	hit5:0.3188035746853912	hit1:0.19989057085537115
mrr:0.2626554748276351	hit10:0.36658763450665693	hit5:0.32117453948568303	hit1:0.19879627940908262
mrr:0.26196845406191294	hit10:0.36804668976837496	hit5:0.31935072040853546	hit1:0.1960605507933613
mrr:0.2634578239570913	hit10:0.3671347802298012	hit5:0.320445011854824	hit1:0.20025533467080064
mrr:0.265052578645956	hit10:0.3684114535838045	hit5:0.3180740470545322	hit1:0.20043771657851542
mrr:0.2597597882955849	hit10:0.36804668976837496	hit5:0.3177092832391027	hit1:0.1964253146087908
mrr:0.2621535633205617	hit10:0.37187670983038484	hit5:0.32062739376253874	hit1:0.19751960605507934
mrr:0.25855064627178703	hit10:0.3667700164143717	hit5:0.3164326098850994	hit1:0.19460149553164327
mrr:0.2621117113218084	hit10:0.3684114535838045	hit5:0.31989786613167975	hit1:0.1980667517782236
mrr:0.2630334073470774	hit10:0.37041765456866677	hit5:0.319715484223965	hit1:0.20043771657851542
mrr:0.26075851175371684	hit10:0.3627576144446471	hit5:0.31661499179281416	hit1:0.1984315155936531
mrr:0.2632117529568932	hit10:0.36822907167608976	hit5:0.3209921575779683	hit1:0.19970818894765638
mrr:0.2602218267405702	hit10:0.36804668976837496	hit5:0.3153383184388109	hit1:0.19861389750136788
mrr:0.26115405192137126	hit10:0.36768192595294547	hit5:0.31661499179281416	hit1:0.19897866131679737
mrr:0.25722656218203893	hit10:0.36622287069122744	hit5:0.3167973737005289	hit1:0.1944191136239285
mrr:0.261236082566575	hit10:0.36768192595294547	hit5:0.31552070034652563	hit1:0.19733722414736457
mrr:0.26046362051089217	hit10:0.3674995440452307	hit5:0.31387926317709286	hit1:0.19897866131679737
mrr:0.2597365116080649	hit10:0.3658581068757979	hit5:0.31460879080795184	hit1:0.1960605507933613
mrr:0.25952219189972886	hit10:0.37041765456866677	hit5:0.3186211927776765	hit1:0.19387196790078423
mrr:0.2584922509445718	hit10:0.370235272660952	hit5:0.3188035746853912	hit1:0.19223053073135146
mrr:0.25849864855042926	hit10:0.36768192595294547	hit5:0.3147911727156666	hit1:0.19496625934707276
mrr:0.2567271146695119	hit10:0.37132956410724055	hit5:0.3164326098850994	hit1:0.19186576691592194
mrr:0.2567081823927779	hit10:0.3753419660769652	hit5:0.3188035746853912	hit1:0.1876709830384826
mrr:0.2586056592202647	hit10:0.37224147364581434	hit5:0.3209921575779683	hit1:0.19113623928506293
mrr:0.2593827609750507	hit10:0.3674995440452307	hit5:0.31460879080795184	hit1:0.1964253146087908
mrr:0.2560007192505592	hit10:0.367317162137516	hit5:0.3129673536385191	hit1:0.19150100310049242
mrr:0.2585287381226663	hit10:0.3727886193689586	hit5:0.3129673536385191	hit1:0.19533102316250228
mrr:0.2547629943623359	hit10:0.37041765456866677	hit5:0.3164326098850994	hit1:0.1893124202079154
mrr:0.25810749315812903	hit10:0.36895859930694874	hit5:0.3153383184388109	hit1:0.19460149553164327
mrr:0.2584014464168503	hit10:0.3715119460149553	hit5:0.3186211927776765	hit1:0.19387196790078423
mrr:0.2567590093584803	hit10:0.3667700164143717	hit5:0.31825642896224693	hit1:0.19259529454678095
mrr:0.25496216217400647	hit10:0.3698705088455225	hit5:0.31606784606966987	hit1:0.1900419478387744
mrr:0.25893683265041195	hit10:0.3696881269378078	hit5:0.31752690133138795	hit1:0.19624293270107607
mrr:0.25992415023032805	hit10:0.3645814335217946	hit5:0.31460879080795184	hit1:0.1984315155936531
mrr:0.25631559924598735	hit10:0.3627576144446471	hit5:0.310049243115083	hit1:0.19478387743935802
mrr:0.2602850263326285	hit10:0.37132956410724055	hit5:0.32026262994710925	hit1:0.19514864125478754
mrr:0.2599727411830104	hit10:0.37497720226153564	hit5:0.31460879080795184	hit1:0.19697246033193508
mrr:0.258023175251824	hit10:0.367317162137516	hit5:0.3129673536385191	hit1:0.19496625934707276
mrr:0.25936034763896243	hit10:0.3674995440452307	hit5:0.31333211745394857	hit1:0.19587816888564655
mrr:0.2606881828896415	hit10:0.36950574503009304	hit5:0.3173445194236732	hit1:0.1980667517782236
mrr:0.25856806148587536	hit10:0.3642166697063651	hit5:0.31825642896224693	hit1:0.1960605507933613
mrr:0.26071486883503564	hit10:0.367317162137516	hit5:0.31752690133138795	hit1:0.19751960605507934
mrr:0.25911882793810076	hit10:0.37060003647638157	hit5:0.3188035746853912	hit1:0.19460149553164327
mrr:0.26119431156246176	hit10:0.37461243844610614	hit5:0.31898595659310597	hit1:0.19751960605507934
mrr:0.2608322514545594	hit10:0.36622287069122744	hit5:0.3158854641619551	hit1:0.19897866131679737
mrr:0.25920924839086634	hit10:0.370235272660952	hit5:0.3191683385008207	hit1:0.19514864125478754
mrr:0.2583719681252223	hit10:0.368776217399234	hit5:0.3180740470545322	hit1:0.19423673171621375
mrr:0.259528784224743	hit10:0.36895859930694874	hit5:0.3188035746853912	hit1:0.1960605507933613
mrr:0.2596063760821958	hit10:0.36932336312237823	hit5:0.31625022797738467	hit1:0.1964253146087908
mrr:0.2571015981415299	hit10:0.36658763450665693	hit5:0.31460879080795184	hit1:0.19387196790078423
mrr:0.2602538578906804	hit10:0.3654933430603684	hit5:0.319715484223965	hit1:0.19660769651650556
mrr:0.2557645288696658	hit10:0.36293999635236185	hit5:0.3135144993616633	hit1:0.19296005836221047
mrr:0.258119452130081	hit10:0.3667700164143717	hit5:0.31387926317709286	hit1:0.19551340507021703
mrr:0.2571733828356349	hit10:0.3642166697063651	hit5:0.31606784606966987	hit1:0.19460149553164327
